date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
3/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Rice (paddy),KG,actual,Farm Gate,PHP,17.84,0.3722
3/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Sweet potatoes,KG,actual,Retail,PHP,12.48,0.2603
3/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Eggs,Unit,actual,Retail,PHP,4.4,0.0918
3/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,PHP,77.62,1.6192
3/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs","Meat (beef, chops with bones)",KG,actual,Retail,PHP,142.38,2.9702
3/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs","Meat (chicken, whole)",KG,actual,Retail,PHP,112.94,2.356
3/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Meat (pork),KG,actual,Retail,PHP,145,3.0248
3/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Cabbage,KG,actual,Retail,PHP,31.23,0.6515
3/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Carrots,KG,actual,Retail,PHP,36.71,0.7658
3/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (red),KG,actual,Retail,PHP,56.4,1.1765
3/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (white),KG,actual,Retail,PHP,53.69,1.12
3/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Tomatoes,KG,actual,Retail,PHP,30.08,0.6275
4/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Rice (paddy),KG,actual,Farm Gate,PHP,16.76,0.3521
4/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Sweet potatoes,KG,actual,Retail,PHP,12.74,0.2676
4/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Eggs,Unit,actual,Retail,PHP,4.46,0.0937
4/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,PHP,78.85,1.6565
4/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs","Meat (beef, chops with bones)",KG,actual,Retail,PHP,142.77,2.9994
4/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs","Meat (chicken, whole)",KG,actual,Retail,PHP,113.68,2.3882
4/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Meat (pork),KG,actual,Retail,PHP,145.31,3.0527
4/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Cabbage,KG,actual,Retail,PHP,25.69,0.5397
4/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Carrots,KG,actual,Retail,PHP,32.46,0.6819
4/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (red),KG,actual,Retail,PHP,48.78,1.0248
4/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (white),KG,actual,Retail,PHP,65.25,1.3708
4/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Tomatoes,KG,actual,Retail,PHP,35.48,0.7454
5/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Rice (paddy),KG,actual,Farm Gate,PHP,16.17,0.3405
5/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Sweet potatoes,KG,actual,Retail,PHP,13.31,0.2803
5/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Eggs,Unit,actual,Retail,PHP,4.47,0.0941
5/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,PHP,72.77,1.5323
5/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs","Meat (beef, chops with bones)",KG,actual,Retail,PHP,142.46,2.9998
5/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs","Meat (chicken, whole)",KG,actual,Retail,PHP,112.51,2.3691
5/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Meat (pork),KG,actual,Retail,PHP,144.69,3.0467
5/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Cabbage,KG,actual,Retail,PHP,26.86,0.5656
5/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Carrots,KG,actual,Retail,PHP,31.15,0.6559
5/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (red),KG,actual,Retail,PHP,50.86,1.071
5/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (white),KG,actual,Retail,PHP,73.67,1.5513
5/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Tomatoes,KG,actual,Retail,PHP,33.92,0.7143
6/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Rice (paddy),KG,actual,Farm Gate,PHP,16.27,0.339
6/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Sweet potatoes,KG,actual,Retail,PHP,17.63,0.3673
6/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Eggs,Unit,actual,Retail,PHP,4.43,0.0923
6/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,PHP,71.69,1.4935
6/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs","Meat (beef, chops with bones)",KG,actual,Retail,PHP,142.31,2.9648
6/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs","Meat (chicken, whole)",KG,actual,Retail,PHP,113.35,2.3615
6/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Meat (pork),KG,actual,Retail,PHP,145.23,3.0256
6/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Cabbage,KG,actual,Retail,PHP,31.31,0.6523
6/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Carrots,KG,actual,Retail,PHP,31.69,0.6602
6/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (red),KG,actual,Retail,PHP,57.62,1.2004
6/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (white),KG,actual,Retail,PHP,61.19,1.2748
6/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Tomatoes,KG,actual,Retail,PHP,33.31,0.694
7/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Rice (paddy),KG,actual,Farm Gate,PHP,16.35,0.3417
7/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Sweet potatoes,KG,actual,Retail,PHP,15.11,0.3158
7/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Eggs,Unit,actual,Retail,PHP,4.54,0.0949
7/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,PHP,68.57,1.433
7/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs","Meat (beef, chops with bones)",KG,actual,Retail,PHP,142.21,2.972
7/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs","Meat (chicken, whole)",KG,actual,Retail,PHP,115.56,2.415
7/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Meat (pork),KG,actual,Retail,PHP,144.57,3.0213
7/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Cabbage,KG,actual,Retail,PHP,30.47,0.6368
7/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Carrots,KG,actual,Retail,PHP,35.57,0.7434
7/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (red),KG,actual,Retail,PHP,58.56,1.2238
7/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (white),KG,actual,Retail,PHP,59.81,1.2499
7/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Tomatoes,KG,actual,Retail,PHP,34.71,0.7254
8/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Potatoes (Irish),KG,actual,Retail,PHP,49.18,1.014
8/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Rice (paddy),KG,actual,Farm Gate,PHP,17.03,0.3511
8/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Sweet potatoes,KG,actual,Retail,PHP,13.83,0.2851
